Column	Adipocytes_SRR1296133	CD4_SRR1422906	HMVEC_SRR2776477	M1_SRR2910670	M2_SRR2939149	P-value	Pearson Correlation	RMSE	
52	0.7705527097796109	0.10560140454788576	0.06516694491403076	0	0.058678940758472686	0.0	0.6421061316276621	0.8549564436339161
53	0.2376683159649134	0.14112767700673368	0.4389052038251984	8.977993950790727E-4	0.18140100380807545	0.01	0.5794322061974122	0.8157773816723837
54	0.39537234842368346	0.11416029871703409	0.4076093584018097	4.7437477017034895E-4	0.0823836196873024	0.0	0.6396225824570573	0.772830914906236
55	0.18450252717565116	0.10277570841069003	0.16615730911503304	0.007580128079113221	0.5389843272195126	0.01	0.539176314934007	0.8432345113685679
56	0.02726593132141618	0.14278256663551947	0.49824107017289343	0.0021877936358298765	0.329522638234341	0.0	0.6720669931968246	0.7420122127483537
57	0.4994634984385634	0.3604098375893716	0.04817990402231125	0.003689294259916499	0.08825746568983721	0.0	0.6297472863660134	0.7777379087161261
58	0.6559978343766876	0.13513925311836406	0.1013213541623098	9.691746598746619E-4	0.10657238368276381	0.0	0.651567994225294	0.7927457019485332
59	0.39474765885708063	0.03490594380180648	0.410366249249028	7.331726097551089E-5	0.15990683083110938	0.0	0.6384241614821997	0.7753975386586476
60	0.19447584606656487	0.2842532552067586	0.4514829269386037	0.0030814705967204957	0.06670650119135232	0.01	0.5482203362457129	0.8373801034998405
61	0.4347083124168663	0.24576600696614975	0.19915893877687013	0.00267933607178964	0.11768740576832422	0.0	0.6493059757413712	0.7600519982315089
62	0.12146067227545675	0.42129252636236203	0.2252575051727594	0.0012496282959733288	0.2307396678934485	0.01	0.5475971059739638	0.8530029996156239
63	0.4006413867988122	0.15060682058275457	0.2930051092528489	0.0018156750483658427	0.15393100831721848	0.0	0.6387916547225314	0.7690417468103221
64	0.18348788292338947	0.3601163241064896	0.2607604915760853	0.005135459764409939	0.19049984162962566	0.01	0.5315252753984202	0.8520072673968629
65	0.3689332089422244	0.1396115658850416	0.3316258406207406	0.001645139476843681	0.15818424507514972	0.0	0.638703339869777	0.7689893342755629
66	0.18966832042045606	0.2959864203427768	0.35584280395573614	0.001406933205294723	0.1570955220757363	0.01	0.5481965211174672	0.8366315832342979
67	0.41572387692238044	0.30689764282802057	0.1968290897715106	0.0014146769363184797	0.07913471354176997	0.0	0.6528781333540293	0.75791861982963
68	0.6423787787520645	0.06315682128365047	0.10526165279281118	0.002883305077149785	0.18631944209432408	0.0	0.6428384708634914	0.800506152493771
69	0.300628444990819	0.054936227251896806	0.3490907180206098	0.00141917663049737	0.2939254331061771	0.0	0.6125886349060803	0.7899181600977376
70	0.2114667395923064	0.5162572133305554	0.014441197244498393	0.003580661918263257	0.2542541879143765	0.01	0.5620351595227637	0.8464391692829175
71	0.4132077191265092	0.28803327984875754	0.17626560737722377	0.001861207351790527	0.12063218629571894	0.0	0.6414030753496347	0.7675020352837729
72	0.36396613382109344	0.16379137226133553	0.3134148624192113	0	0.15882763149835966	0.0	0.6437282121278695	0.7648195621396575
73	0.31540694034497263	0.2087850886651827	0.34296982154838235	0.001493807177831493	0.13134434226363084	0.0	0.6263795338269418	0.7793829366036045
74	0.393600905537144	0.10434816150254343	0.3168055813750094	9.790317205696322E-4	0.1842663198647335	0.0	0.656261891457833	0.7541323677081144
75	0.11804697906192167	0.5382509215539893	0.17276983481433275	0.0058314167668618334	0.1651008478028943	0.01	0.5292138103606221	0.8680720044830148
76	0.34376582148198775	0.30821656686351606	0.1806137489589639	0.0015278066361549395	0.16587605605937736	0.0	0.6393234306741445	0.7755869135584889
77	0.536671517724835	0.06701776766684645	0.2466859490664794	7.387891955931051E-4	0.14888597634624606	0.0	0.6482526047551661	0.7737938714451292
78	0.23666516708082866	0.22390324601912687	0.3638391526229469	0.002613676219909811	0.17297875805718774	0.01	0.5710429768247964	0.8205354849580744
79	0.45435468276845287	0.11622458556726006	0.15272435830918546	0.0014174205489119974	0.2752789528061897	0.0	0.6590929441486038	0.7516207999799753
80	0.2864065284185299	0.3426633189522933	0.2832841833817326	0.0019266933787794067	0.08571927586866475	0.0	0.6237080469251786	0.7870307288220834
81	0.12979758230428923	0.26095645656497335	0.37760058384518286	0.004831912425455798	0.22681346486009873	0.01	0.5554076311935459	0.8324777658220168
82	0.1263106180954998	0.3694200176425058	0.19682954601961425	0.006309033680124297	0.3011307845622558	0.01	0.5198723640517715	0.8657953766489107
