Column	adipocyte	cd4	MVEC	m1_macro	m2_macro	P.value	Pearson.Correlation	RMSE
SRR1315081	0.644430526806977	0	0.330211006628759	0	0.0253584665642637	0.00402010050251256	0.307306430959329	1.14844918209983
SRR1315225	0.715799431867511	0	0.19739780993007	0.000143551825496464	0.0866592063769226	0	0.625356413132924	0.858418918408284
SRR1315931	0.636385623071181	0	0.27359583867801	0	0.0900185382508084	0.00100502512562814	0.438595565910761	1.01883373661533
SRR1316367	0.766418563475154	0	0.0991547046672968	0	0.134426731857549	0	0.794075455313719	0.650994733609411
SRR1317365	0.755581098495546	0	0.244418901504454	0	0	0	0.524117406545146	0.995745443127597
SRR1317410	0.510459666558878	0	0.39598588181165	0	0.0935544516294729	0	0.5149799427021	0.921063111517457
SRR1317446	0.785341998882219	0.000981314333693992	0.211508794643982	0	0.00216789214010525	0.00201005025125628	0.40775243473845	1.12443295899518
SRR1317771	0.310048966111805	0	0.568353278057715	0	0.12159775583048	0.0120603015075377	0.242734963606564	1.13346315720523
SRR1317985	0.368498220124096	0	0.602090475355552	0	0.0294113045203522	0.00402010050251256	0.304076947267683	1.12178265162566
SRR1318354	0.843718675405043	0.0105022354726451	0.0982709258921665	0.0024940538943305	0.045014109335815	0	0.508796909669034	1.05016350706512
SRR1318796	0.137011597554494	0	0.627733091991046	0	0.23525531045446	0.0371859296482412	0.135453687838563	1.20158794380889
SRR1318879	0.522788178984117	0	0.411565558796645	0	0.0656462622192382	0.00301507537688442	0.331947100548447	1.08719529952512
SRR1319204	0.625587255890039	0	0.315958478656862	0	0.0584542654530987	0.00301507537688442	0.352851635167644	1.09622505372477
SRR1319731	0.73575319353735	0.00529023533298661	0.203521900240061	0	0.0554346708896024	0	0.704140728216231	0.77178410642511
SRR1319882	0.690901687141676	0	0.255127885119024	0	0.0539704277392992	0	0.736793291077356	0.716210016110836
SRR1319903	0.653682702934248	0	0.310205858406295	0	0.0361114386594566	0	0.511173652702558	0.96581622373637
SRR1322936	0.516308596685259	0	0.242396646554845	9.4249611211692e-05	0.241200507148685	0	0.538042973824159	0.879697977704322
SRR1324025	0.303353778443403	0	0.490679165756076	0	0.205967055800521	0.0291457286432161	0.157330888636036	1.15704713333294
SRR1325906	0.802249218105215	0	0.159800429862724	0.000442355491723316	0.037507996540338	0	0.756375348129156	0.727296325051715
SRR1326270	0.535168790794801	0	0.436917639044768	0	0.0279135701604314	0.00301507537688442	0.314117560913372	1.11578148386874
SRR1326579	0.460790540126888	0	0.223440370631201	0	0.315769089241911	0	0.467739718224754	0.923820236561021
SRR1327834	0.448806431623151	0	0.448923395569719	0	0.10227017280713	0.0190954773869347	0.191359801078966	1.17189892152339
SRR1328620	0.768000619723075	0.00416655685500926	0.181187442520712	0.000382435130341069	0.0462629457708628	0	0.604261879497348	0.906811485837745
SRR1330588	0.718098703015116	0	0.159534643967742	0	0.122366653017141	0.00201005025125628	0.358709823023954	1.11975505709798
SRR1330920	0.648542592688741	0	0.209351345351262	0	0.142106061959997	0.0100502512562814	0.253904758129425	1.16978974079006
SRR1331708	0.530404146873284	2.7412126527511e-05	0.310772274675326	0.00124760285107913	0.157548563473783	0	0.661010566913202	0.76864979183917
